cdr_id,msisdn,service_type,usage_volume,timestamp,site_id,billed_amount,billing_status,potential_loss
TXN_000001,628177423388,Voice,48.47023944990327,2022-01-01 00:00:00,SITE_33,7270.53591748549,Billed,0.0
TXN_000002,628177550634,Roaming,220.07598722232584,2022-01-01 00:01:00,SITE_80,33011.398083348875,Billed,0.0
TXN_000003,628175304572,SMS,706.5262660332502,2022-01-01 00:02:00,SITE_6,35326.31330166251,Billed,0.0
TXN_000004,628173234489,SMS,782.8689112600538,2022-01-01 00:03:00,SITE_83,39143.445563002686,Billed,0.0
TXN_000005,628178204212,Data,455.8630916518665,2022-01-01 00:04:00,SITE_31,22793.154582593324,Billed,0.0
TXN_000006,628175472471,Roaming,698.3762641401702,2022-01-01 00:05:00,SITE_66,104756.43962102552,Billed,0.0
TXN_000007,628175523669,Roaming,388.5642164862371,2022-01-01 00:06:00,SITE_18,58284.63247293557,Billed,0.0
TXN_000008,628178404852,Voice,160.75333177910338,2022-01-01 00:07:00,SITE_28,24112.999766865505,Billed,0.0
TXN_000009,628175981505,Data,398.7513440293836,2022-01-01 00:08:00,SITE_68,19937.56720146918,Billed,0.0
TXN_000010,628172766891,Roaming,580.3878523829397,2022-01-01 00:09:00,SITE_65,87058.17785744095,Billed,0.0
TXN_000011,628175521373,Voice,948.1052285710374,2022-01-01 00:10:00,SITE_80,142215.78428565562,Billed,0.0
TXN_000012,628177019877,Interconnection,69.68220113658865,2022-01-01 00:11:00,SITE_45,,Unbilled,3484.1100568294323
TXN_000013,628174344769,SMS,507.88669975111566,2022-01-01 00:12:00,SITE_58,25394.334987555783,Billed,0.0
TXN_000014,628171103355,SMS,329.59085843251364,2022-01-01 00:13:00,SITE_47,16479.54292162568,Billed,0.0
TXN_000015,628172262752,Data,508.8033825824178,2022-01-01 00:14:00,SITE_66,25440.16912912089,Billed,0.0
TXN_000016,628176664789,Data,24.951471929155147,2022-01-01 00:15:00,SITE_52,1247.5735964577573,Billed,0.0
TXN_000017,628176743066,Interconnection,313.71232934687976,2022-01-01 00:16:00,SITE_36,15685.616467343987,Billed,0.0
TXN_000018,628177113790,Data,820.048279379478,2022-01-01 00:17:00,SITE_1,41002.4139689739,Billed,0.0
TXN_000019,628175721339,Roaming,554.3877921207829,2022-01-01 00:18:00,SITE_39,83158.16881811744,Billed,0.0
TXN_000020,628174275709,Data,451.13191032330127,2022-01-01 00:19:00,SITE_87,22556.595516165064,Billed,0.0
TXN_000021,628171084654,Voice,286.23954664362424,2022-01-01 00:20:00,SITE_90,42935.93199654364,Billed,0.0
TXN_000022,628176147581,Voice,298.74448026856453,2022-01-01 00:21:00,SITE_75,44811.67204028468,Billed,0.0
TXN_000023,628172954354,Data,383.7183321569939,2022-01-01 00:22:00,SITE_1,19185.916607849693,Billed,0.0
TXN_000024,628179242680,Interconnection,835.7351392545959,2022-01-01 00:23:00,SITE_75,41786.75696272979,Billed,0.0
TXN_000025,628173428388,Data,967.24599360146,2022-01-01 00:24:00,SITE_88,48362.299680073,Billed,0.0
TXN_000026,628179916786,Data,439.21672596902414,2022-01-01 00:25:00,SITE_74,21960.83629845121,Billed,0.0
TXN_000027,628173663046,Data,393.95948590901406,2022-01-01 00:26:00,SITE_14,19697.974295450706,Billed,0.0
TXN_000028,628176499720,Data,846.7042250440429,2022-01-01 00:27:00,SITE_78,42335.21125220215,Billed,0.0
TXN_000029,628177640913,Data,427.4784153156673,2022-01-01 00:28:00,SITE_71,21373.920765783365,Billed,0.0
TXN_000030,628174416664,Roaming,552.4661541233555,2022-01-01 00:29:00,SITE_23,82869.92311850333,Billed,0.0
TXN_000031,628174385659,Data,231.71072293414568,2022-01-01 00:30:00,SITE_43,11585.536146707283,Billed,0.0
TXN_000032,628174385357,Data,743.7590332432961,2022-01-01 00:31:00,SITE_22,37187.95166216481,Billed,0.0
TXN_000033,628172465689,Voice,532.456329952511,2022-01-01 00:32:00,SITE_60,79868.44949287667,Billed,0.0
TXN_000034,628171068148,Interconnection,809.2255156901014,2022-01-01 00:33:00,SITE_27,,Unbilled,40461.275784505066
TXN_000035,628172825665,Data,780.951997298641,2022-01-01 00:34:00,SITE_56,39047.59986493205,Billed,0.0
TXN_000036,628173745683,Voice,215.78976350175853,2022-01-01 00:35:00,SITE_2,32368.46452526378,Billed,0.0
TXN_000037,628175056518,SMS,715.9199150072046,2022-01-01 00:36:00,SITE_39,35795.995750360235,Billed,0.0
TXN_000038,628173669995,Data,800.25435354342,2022-01-01 00:37:00,SITE_51,40012.717677171,Billed,0.0
TXN_000039,628175997895,Data,346.7611335416127,2022-01-01 00:38:00,SITE_19,17338.056677080636,Billed,0.0
TXN_000040,628177397986,Data,173.43650378937227,2022-01-01 00:39:00,SITE_62,8671.825189468613,Billed,0.0
TXN_000041,628172870928,Roaming,3.629523424008592,2022-01-01 00:40:00,SITE_71,544.4285136012888,Billed,0.0
TXN_000042,628175155299,Voice,451.452749440055,2022-01-01 00:41:00,SITE_76,67717.91241600826,Billed,0.0
TXN_000043,628177249859,Roaming,353.0802988073028,2022-01-01 00:42:00,SITE_67,52962.04482109541,Billed,0.0
TXN_000044,628173305413,SMS,555.3549239915835,2022-01-01 00:43:00,SITE_63,27767.74619957917,Billed,0.0
TXN_000045,628174910197,Data,188.85305149619697,2022-01-01 00:44:00,SITE_5,9442.652574809848,Billed,0.0
