cdr_id,msisdn,service_type,usage_volume,timestamp,site_id
TXN_000001,628177423388,Voice,48.47023944990327,2022-01-01 00:00:00,SITE_33
TXN_000002,628177550634,Roaming,220.07598722232584,2022-01-01 00:01:00,SITE_80
TXN_000003,628175304572,SMS,706.5262660332502,2022-01-01 00:02:00,SITE_6
TXN_000004,628173234489,SMS,782.8689112600538,2022-01-01 00:03:00,SITE_83
TXN_000005,628178204212,Data,455.8630916518665,2022-01-01 00:04:00,SITE_31
TXN_000006,628175472471,Roaming,698.3762641401702,2022-01-01 00:05:00,SITE_66
TXN_000007,628175523669,Roaming,388.5642164862371,2022-01-01 00:06:00,SITE_18
TXN_000008,628178404852,Voice,160.75333177910338,2022-01-01 00:07:00,SITE_28
TXN_000009,628175981505,Data,398.75134402938363,2022-01-01 00:08:00,SITE_68
TXN_000010,628172766891,Roaming,580.3878523829397,2022-01-01 00:09:00,SITE_65
TXN_000011,628175521373,Voice,948.1052285710374,2022-01-01 00:10:00,SITE_80
TXN_000012,628177019877,Interconnection,69.68220113658865,2022-01-01 00:11:00,SITE_45
TXN_000013,628174344769,SMS,507.88669975111566,2022-01-01 00:12:00,SITE_58
TXN_000014,628171103355,SMS,329.59085843251364,2022-01-01 00:13:00,SITE_47
TXN_000015,628172262752,Data,508.80338258241784,2022-01-01 00:14:00,SITE_66
TXN_000016,628176664789,Data,24.951471929155147,2022-01-01 00:15:00,SITE_52
TXN_000017,628176743066,Interconnection,313.71232934687976,2022-01-01 00:16:00,SITE_36
TXN_000018,628177113790,Data,820.048279379478,2022-01-01 00:17:00,SITE_1
TXN_000019,628175721339,Roaming,554.3877921207829,2022-01-01 00:18:00,SITE_39
TXN_000020,628174275709,Data,451.13191032330127,2022-01-01 00:19:00,SITE_87
TXN_000021,628171084654,Voice,286.23954664362424,2022-01-01 00:20:00,SITE_90
TXN_000022,628176147581,Voice,298.74448026856453,2022-01-01 00:21:00,SITE_75
TXN_000023,628172954354,Data,383.7183321569939,2022-01-01 00:22:00,SITE_1
TXN_000024,628179242680,Interconnection,835.7351392545959,2022-01-01 00:23:00,SITE_75
TXN_000025,628173428388,Data,967.2459936014601,2022-01-01 00:24:00,SITE_88
TXN_000026,628179916786,Data,439.21672596902414,2022-01-01 00:25:00,SITE_74
TXN_000027,628173663046,Data,393.95948590901406,2022-01-01 00:26:00,SITE_14
TXN_000028,628176499720,Data,846.7042250440429,2022-01-01 00:27:00,SITE_78
TXN_000029,628177640913,Data,427.4784153156673,2022-01-01 00:28:00,SITE_71
TXN_000030,628174416664,Roaming,552.4661541233555,2022-01-01 00:29:00,SITE_23
TXN_000031,628174385659,Data,231.71072293414568,2022-01-01 00:30:00,SITE_43
TXN_000032,628174385357,Data,743.7590332432961,2022-01-01 00:31:00,SITE_22
TXN_000033,628172465689,Voice,532.456329952511,2022-01-01 00:32:00,SITE_60
TXN_000034,628171068148,Interconnection,809.2255156901014,2022-01-01 00:33:00,SITE_27
TXN_000035,628172825665,Data,780.951997298641,2022-01-01 00:34:00,SITE_56
TXN_000036,628173745683,Voice,215.78976350175853,2022-01-01 00:35:00,SITE_2
TXN_000037,628175056518,SMS,715.9199150072046,2022-01-01 00:36:00,SITE_39
TXN_000038,628173669995,Data,800.25435354342,2022-01-01 00:37:00,SITE_51
TXN_000039,628175997895,Data,346.7611335416127,2022-01-01 00:38:00,SITE_19
TXN_000040,628177397986,Data,173.43650378937227,2022-01-01 00:39:00,SITE_62
TXN_000041,628172870928,Roaming,3.629523424008592,2022-01-01 00:40:00,SITE_71
TXN_000042,628175155299,Voice,451.452749440055,2022-01-01 00:41:00,SITE_76
TXN_000043,628177249859,Roaming,353.08029880730277,2022-01-01 00:42:00,SITE_67
TXN_000044,628173305413,SMS,555.3549239915835,2022-01-01 00:43:00,SITE_63
TXN_000045,628174910197,Data,188.85305149619697,2022-01-01 00:44:00,SITE_5
TXN_000046,628176558019,Data,859.8058821188087,2022-01-01 00:45:00,SITE_72
TXN_000047,628176414709,Data,258.49746041248153,2022-01-01 00:46:00,SITE_78
TXN_000048,628171271836,Roaming,227.20317548256233,2022-01-01 00:47:00,SITE_61
